Player,From,Transfer Fee,Season,Transfer Type
Bryan Mbeumo,Troyes,5.85,2019-20,Direct
Pontus Jansson,Leeds,5.54,2019-20,Direct
Mathias Jensen,Celta de Vigo,3.42,2019-20,Direct
Christian Nörgaard,Fiorentina,3.15,2019-20,Direct
Ethan Pinnock,Barnsley FC,3.02,2019-20,Direct
David Raya,Blackburn,3.02,2019-20,Direct
Halil Dervisoglu,Sparta R.,2.70,2019-20,Direct
Shandon Baptiste,Oxford United,2.03,2019-20,Direct
Joel Valencia,Piast Gliwice,1.80,2019-20,Direct
Tariqe Fosu,Oxford United,0.675,2019-20,Direct
Dominic Thompson,Arsenal U23,,2019-20,Direct
Mads Roerslev Rasmussen,FC Copenhagen,,2019-20,Direct
Dru Yearwood,Southend United,,2019-20,Direct
Jan Zamburek,Brentford B,,2019-20,Direct
Nikolaos Karelis,Without Club,,2019-20,Direct
Emiliano Marcondes,FC Midtjylland,,2019-20,End of loan
Patrik Gunnarsson,Brentford B,,2019-20,Direct
Jaakko Oksanen,Brentford B,,2019-20,Direct
Luka Racic,Brentford B,,2019-20,Direct
Mads Bech Sörensen,AFC Wimbledon,,2019-20,End of loan
Justin Shaibu,Boreham Wood,,2019-20,End of loan
Patrik Gunnarsson,Southend United,,2019-20,End of loan
Ellery Balcombe,Viborg FF,,2019-20,End of loan
Marcus Forss,AFC Wimbledon,,2019-20,End of loan
Ezri Konsa,Charlton,2.57,2018-19,Direct
Julian Jeanvier,Reims,1.80,2018-19,Direct
Saïd Benrahma,OGC Nice,1.53,2018-19,Direct
Moses Odubajo,Hull City,,2018-19,Free transfer
Josh Dasilva,Arsenal U23,,2018-19,Free transfer
Ellery Balcombe,Boreham Wood,,2018-19,End of loan
Ryan Woods,Stoke City,,2018-19,End of loan
Tom Field,Cheltenham,,2018-19,End of loan
Chiedozie Ogbene,Exeter City,,2018-19,End of loan
Jack Bonham,Bristol Rovers,,2018-19,End of loan
Josh Clarke,Burton Albion,,2018-19,End of loan
Ellery Balcombe,Brentford B,,2018-19,Direct
Marcus Forss,Brentford B,,2018-19,Direct
Mads Bech Sörensen,Brentford B,,2018-19,Direct
Ollie Watkins,Exeter City,1.80,2017-18,Direct
Neal Maupay,Saint-Étienne,1.80,2017-18,Direct
Henrik Dalsgaard,Zulte Waregem,0.990,2017-18,Direct
Kamohelo Mokotjo,Twente FC,0.900,2017-18,Direct
Luke Daniels,Scunthorpe Utd.,,2017-18,Free transfer
Emiliano Marcondes,Nordsjaelland,,2017-18,Free transfer
Chiedozie Ogbene,Limerick FC,,2017-18,Direct
Ilias Chatzitheodoridis,Brentford B,,2017-18,Direct
Justin Shaibu,Brentford B,,2017-18,Direct
Jack Bonham,Carlisle United,,2017-18,End of loan
Justin Shaibu,Walsall,,2017-18,End of loan
Ilias Chatzitheodoridis,Cheltenham,,2017-18,End of loan
Tom Field,Bradford,,2017-18,End of loan
Chris Mepham,Brentford B,,2017-18,Direct
Sergi Canós,Norwich,2.61,2016-17,Direct
Rico Henry,Walsall,1.62,2016-17,Direct
Florian Jozefzoon,PSV Eindhoven,0.405,2016-17,Direct
Romaine Sawyers,Walsall,,2016-17,Free transfer
John Egan,Gillingham FC,,2016-17,Free transfer
Daniel Bentley,Southend United,,2016-17,Free transfer
Emmanuel Ledesma,Rotherham,,2016-17,Free transfer
Callum Elder,Leicester,,2016-17,Loan
Sullay Kaikai,Crystal Palace,,2016-17,Loan
Tom Field,Brentford U18,,2016-17,Direct
Jota,SD Eibar,,2016-17,End of loan
Andreas Bjelland,Twente FC,2.25,2015-16,Direct
Philipp Hofmann,1.FC K'lautern,1.80,2015-16,Direct
Maxime Colin,RSC Anderlecht,1.35,2015-16,Direct
Ryan Woods,Shrewsbury,1.22,2015-16,Direct
Lasse Vibe,IFK Göteborg,1.17,2015-16,Direct
Josh McEachran,Chelsea,0.936,2015-16,Direct
Yoann Barbet,Chamois Niort,0.630,2015-16,Direct
Akaki Gogia,Hallescher FC,,2015-16,Free transfer
Sergi Canós,Liverpool U23,,2015-16,Loan
Leandro Rodríguez,Everton,,2015-16,Loan
John Swift,Chelsea U21,,2015-16,Loan
Ryan Williams,Morecambe FC,,2015-16,Free transfer
Konstantin Kerschbaumer,Admira Wacker,,2015-16,Direct
Marco Djuricin,RB Salzburg,,2015-16,Loan
Josh Laurent,Newport County,,2015-16,End of loan
Aaron Greene,Boston United,,2015-16,End of loan
Mark Smith,Brentford U18,,2015-16,Direct
Josh Clarke,Barnet,,2015-16,End of loan
Mark Smith,Hampton & Rich.,,2015-16,End of loan
Mark Smith,Lowestoft,,2015-16,End of loan
Jermaine Udumaga,Wycombe,,2015-16,End of loan
Mark Smith,Hampton & Rich.,,2015-16,End of loan
Jota,Celta de Vigo,1.35,2014-15,Direct
Lewis MacLeod,Rangers,1.15,2014-15,Direct
Moses Odubajo,Leyton Orient,1.13,2014-15,Direct
Scott Hogan,Rochdale,0.855,2014-15,Direct
Andre Gray,Luton,0.558,2014-15,Direct
Chris Long,Everton U21,,2014-15,Loan
Aaron Greene,Chelmsford City,,2014-15,Free transfer
Jon Toral,Arsenal U21,,2014-15,Loan
Nick Proschwitz,Hull City,,2014-15,Free transfer
Tommy Smith,Cardiff,,2014-15,Free transfer
Jermaine Udumaga,Oxford Utd U18,,2014-15,Free transfer
Alex Pritchard,Spurs,,2014-15,Loan
Marcos Tébar,UD Almería,,2014-15,Free transfer
Josh Laurent,QPR U23,,2014-15,Direct
Betinho,Sporting B,,2014-15,Loan
Jack O'Connell,Blackburn,,2014-15,Direct
Liam Moore,Leicester,,2014-15,Loan
Alan Judge,Blackburn,,2014-15,Direct
Will Grigg,MK Dons,,2014-15,End of loan
Charlie Adams,Stevenage,,2014-15,End of loan
Josh Clarke,Stevenage,,2014-15,End of loan
Emmanuel Oyeleke,Aldershot Town,,2014-15,End of loan
Josh Clarke,Dag & Red FC,,2014-15,End of loan
Jack O'Connell,Rochdale,,2014-15,End of loan
Lionel Stone,Woking FC,,2014-15,End of loan
Alfie Mawson,Wycombe,,2014-15,End of loan
Lionel Stone,Brentford U18,,2014-15,Direct
Nico Yennaris,Wycombe,,2014-15,End of loan
Sam Saunders,Wycombe,,2014-15,End of loan
Nick Proschwitz,Coventry,,2014-15,End of loan
Richard Lee,Fulham,,2014-15,End of loan
Emmanuel Oyeleke,Woking FC,,2014-15,End of loan
