Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
32,Tue,2019-02-12,19:45 (01:15),Birmingham City,0–1,Bolton,21682,St Andrew's Trillion Trophy Stadium,Andrew Davies,Match Report,
32,Tue,2019-02-12,19:45 (01:15),Hull City,2–2,Rotherham Utd,10785,Kingston Communications Stadium,Scott Duncan,Match Report,
32,Tue,2019-02-12,19:45 (01:15),Bristol City,2–1,QPR,19183,Ashton Gate Stadium,Tony Harrington,Match Report,
32,Tue,2019-02-12,19:45 (01:15),Millwall,0–0,Sheffield Weds,11828,The Den,Tim Robinson,Match Report,
32,Tue,2019-02-12,20:00 (01:30),West Brom,2–2,Nott'ham Forest,22691,The Hawthorns,Lee Mason,Match Report,
32,Wed,2019-02-13,19:45 (01:15),Leeds United,2–1,Swansea City,34044,Elland Road,David Webb,Match Report,
32,Wed,2019-02-13,19:45 (01:15),Wigan Athletic,0–0,Stoke City,9914,The DW Stadium,Keith Stroud,Match Report,
32,Wed,2019-02-13,19:45 (01:15),Brentford,1–0,Aston Villa,9636,Griffin Park,Gavin Ward,Match Report,
32,Wed,2019-02-13,19:45 (01:15),Preston,3–1,Norwich City,11280,Deepdale Stadium,Geoff Eltringham,Match Report,
32,Wed,2019-02-13,19:45 (01:15),Sheffield Utd,1–0,Middlesbrough,24805,Bramall Lane,Andy Woolmer,Match Report,
32,Wed,2019-02-13,19:45 (01:15),Ipswich Town,1–1,Derby County,18604,Portman Road Stadium,Andy Madley,Match Report,
32,Wed,2019-02-13,20:00 (01:30),Reading,2–1,Blackburn,11271,Madejski Stadium,Steve Martin,Match Report,
,,,,,,,,,,,
33,Sat,2019-02-16,13:00 (18:30),Rotherham Utd,2–2,Sheffield Weds,11736,New York Stadium,Darren England,Match Report,
33,Sat,2019-02-16,15:00 (20:30),Preston,0–0,Nott'ham Forest,13904,Deepdale Stadium,Tim Robinson,Match Report,
33,Sat,2019-02-16,15:00 (20:30),Aston Villa,0–2,West Brom,39263,Villa Park,James Linington,Match Report,
33,Sat,2019-02-16,15:00 (20:30),Sheffield Utd,4–0,Reading,26513,Bramall Lane,Robert Jones,Match Report,
33,Sat,2019-02-16,15:00 (20:30),Ipswich Town,1–1,Stoke City,15924,Portman Road Stadium,Scott Duncan,Match Report,
33,Sat,2019-02-16,15:00 (20:30),Bolton,0–4,Norwich City,14006,Macron Stadium,Andy Woolmer,Match Report,
33,Sun,2019-02-17,13:00 (18:30),Blackburn,0–1,Middlesbrough,13249,Ewood Park,Darren Bond,Match Report,
,,,,,,,,,,,
29,Tue,2019-02-19,19:45 (01:15),QPR,2–3,West Brom,12257,Loftus Road Stadium,John Brooks,Match Report,
29,Wed,2019-02-20,19:45 (01:15),Derby County,0–1,Millwall,24907,iPro Stadium,James Linington,Match Report,
,,,,,,,,,,,
34,Sat,2019-02-23,15:00 (20:30),Sheffield Weds,3–1,Swansea City,22935,Hillsborough Stadium,Geoff Eltringham,Match Report,
34,Sat,2019-02-23,15:00 (20:30),Leeds United,2–1,Bolton,34144,Elland Road,Tony Harrington,Match Report,
34,Sat,2019-02-23,15:00 (20:30),Brentford,5–1,Hull City,9675,Griffin Park,Tim Robinson,Match Report,
34,Sat,2019-02-23,15:00 (20:30),Wigan Athletic,1–1,Ipswich Town,10835,The DW Stadium,Lee Probert,Match Report,
34,Sat,2019-02-23,15:00 (20:30),Birmingham City,2–2,Blackburn,21869,St Andrew's Trillion Trophy Stadium,Peter Bankes,Match Report,
34,Sat,2019-02-23,15:00 (20:30),Norwich City,3–2,Bristol City,26338,Carrow Road,Gavin Ward,Match Report,
34,Sat,2019-02-23,15:00 (20:30),Middlesbrough,2–0,QPR,22338,Riverside Stadium,Andy Madley,Match Report,
34,Sat,2019-02-23,15:00 (20:30),Millwall,1–3,Preston,13265,The Den,Steve Martin,Match Report,
34,Sat,2019-02-23,15:00 (20:30),Reading,1–1,Rotherham Utd,15958,Madejski Stadium,Jeremy Simpson,Match Report,
34,Sat,2019-02-23,15:00 (20:30),Stoke City,1–1,Aston Villa,27975,Bet365 Stadium,David Webb,Match Report,
34,Sat,2019-02-23,17:30 (23:00),West Brom,0–1,Sheffield Utd,24928,The Hawthorns,Oliver Langford,Match Report,
34,Mon,2019-02-25,19:45 (01:15),Nott'ham Forest,1–0,Derby County,29421,The City Ground,Robert Jones,Match Report,
,,,,,,,,,,,
29,Tue,2019-02-26,19:45 (01:15),Sheffield Weds,2–0,Brentford,23094,Hillsborough Stadium,Scott Duncan,Match Report,
,,,,,,,,,,,
33,Tue,2019-02-26,19:45 (01:15),Bristol City,1–2,Birmingham City,19777,Ashton Gate Stadium,Geoff Eltringham,Match Report,
33,Tue,2019-02-26,19:45 (01:15),QPR,1–0,Leeds United,14763,Loftus Road Stadium,Andrew Davies,Match Report,
33,Tue,2019-02-26,19:45 (01:15),Hull City,2–1,Millwall,10191,Kingston Communications Stadium,Darren Bond,Match Report,
,,,,,,,,,,,
35,Fri,2019-03-01,19:45 (01:15),Leeds United,4–0,West Brom,35888,Elland Road,Tim Robinson,Match Report,
35,Sat,2019-03-02,15:00 (20:30),Swansea City,2–0,Bolton,17880,Liberty Stadium,Gavin Ward,Match Report,
35,Sat,2019-03-02,15:00 (20:30),Rotherham Utd,3–2,Blackburn,9663,New York Stadium,John Brooks,Match Report,
35,Sat,2019-03-02,15:00 (20:30),Hull City,2–0,Birmingham City,12551,Kingston Communications Stadium,Tony Harrington,Match Report,
35,Sat,2019-03-02,15:00 (20:30),Millwall,1–3,Norwich City,16748,The Den,David Webb,Match Report,
35,Sat,2019-03-02,15:00 (20:30),Preston,1–1,Bristol City,12863,Deepdale Stadium,Jeremy Simpson,Match Report,
35,Sat,2019-03-02,15:00 (20:30),Stoke City,2–0,Nott'ham Forest,26736,Bet365 Stadium,Roger East,Match Report,
35,Sat,2019-03-02,15:00 (20:30),Brentford,3–0,QPR,11771,Griffin Park,Keith Stroud,Match Report,
35,Sat,2019-03-02,15:00 (20:30),Ipswich Town,1–2,Reading,23009,Portman Road Stadium,Geoff Eltringham,Match Report,
35,Sat,2019-03-02,15:00 (20:30),Aston Villa,4–0,Derby County,37273,Villa Park,Lee Mason,Match Report,
35,Sat,2019-03-02,15:00 (20:30),Wigan Athletic,0–0,Middlesbrough,12726,The DW Stadium,Steve Martin,Match Report,
35,Mon,2019-03-04,19:45 (01:15),Sheffield Weds,0–0,Sheffield Utd,31630,Hillsborough Stadium,Peter Bankes,Match Report,
,,,,,,,,,,,
33,Tue,2019-03-05,19:45 (01:15),Derby County,2–1,Wigan Athletic,23655,iPro Stadium,Néstor Pitana,Match Report,
,,,,,,,,,,,
36,Fri,2019-03-08,19:45 (01:15),Norwich City,1–0,Swansea City,26360,Carrow Road,Robert Jones,Match Report,
36,Sat,2019-03-09,12:00 (17:30),Blackburn,0–1,Preston,21577,Ewood Park,Oliver Langford,Match Report,
36,Sat,2019-03-09,12:15 (17:45),Sheffield Utd,2–0,Rotherham Utd,27402,Bramall Lane,Geoff Eltringham,Match Report,
36,Sat,2019-03-09,15:00 (20:30),Middlesbrough,1–2,Brentford,22069,Riverside Stadium,Jeremy Simpson,Match Report,
36,Sat,2019-03-09,15:00 (20:30),Reading,3–2,Wigan Athletic,15401,Madejski Stadium,Andrew Davies,Match Report,
36,Sat,2019-03-09,15:00 (20:30),Bristol City,0–1,Leeds United,24832,Ashton Gate Stadium,Peter Bankes,Match Report,
36,Sat,2019-03-09,15:00 (20:30),Bolton,2–1,Millwall,13035,Macron Stadium,Simon Hooper,Match Report,
36,Sat,2019-03-09,15:00 (20:30),Derby County,1–1,Sheffield Weds,28574,iPro Stadium,Keith Stroud,Match Report,
36,Sat,2019-03-09,15:00 (20:30),Nott'ham Forest,3–0,Hull City,29397,The City Ground,James Linington,Match Report,
36,Sat,2019-03-09,15:00 (20:30),QPR,0–0,Stoke City,14954,Loftus Road Stadium,Gavin Ward,Match Report,
36,Sat,2019-03-09,15:00 (20:30),West Brom,1–1,Ipswich Town,23973,The Hawthorns,Andy Woolmer,Match Report,
36,Sun,2019-03-10,12:00 (17:30),Birmingham City,0–1,Aston Villa,26631,St Andrew's Trillion Trophy Stadium,Tim Robinson,Match Report,
,,,,,,,,,,,
37,Tue,2019-03-12,19:45 (01:15),Blackburn,3–0,Wigan Athletic,12763,Ewood Park,Chris Kavanagh,Match Report,
37,Tue,2019-03-12,19:45 (01:15),Bristol City,1–1,Ipswich Town,18411,Ashton Gate Stadium,Darren Bond,Match Report,
37,Tue,2019-03-12,19:45 (01:15),Sheffield Utd,2–0,Brentford,24463,Bramall Lane,Tony Harrington,Match Report,
37,Tue,2019-03-12,20:00 (01:30),Bolton,0–2,Sheffield Weds,13624,Macron Stadium,Steve Martin,Match Report,
37,Tue,2019-03-12,20:00 (01:30),Reading,0–3,Leeds United,17101,Madejski Stadium,Gavin Ward,Match Report,
37,Wed,2019-03-13,19:45 (01:15),Middlesbrough,1–2,Preston,21088,Riverside Stadium,Keith Stroud,Match Report,
37,Wed,2019-03-13,19:45 (01:15),Nott'ham Forest,1–3,Aston Villa,29224,The City Ground,Mike Dean,Match Report,
37,Wed,2019-03-13,19:45 (01:15),Birmingham City,0–2,Millwall,20151,St Andrew's Trillion Trophy Stadium,John Brooks,Match Report,
37,Wed,2019-03-13,19:45 (01:15),Derby County,0–0,Stoke City,25685,iPro Stadium,Oliver Langford,Match Report,
37,Wed,2019-03-13,19:45 (01:15),Norwich City,3–2,Hull City,25879,Carrow Road,Andy Madley,Match Report,
37,Wed,2019-03-13,19:45 (01:15),QPR,1–2,Rotherham Utd,10854,Loftus Road Stadium,David Webb,Match Report,
37,Wed,2019-03-13,20:00 (01:30),West Brom,3–0,Swansea City,20282,The Hawthorns,Scott Duncan,Match Report,
,,,,,,,,,,,
38,Sat,2019-03-16,12:30 (18:00),Leeds United,0–1,Sheffield Utd,37004,Elland Road,David Coote,Match Report,
38,Sat,2019-03-16,15:00 (20:30),Wigan Athletic,5–2,Bolton,13664,The DW Stadium,Robert Jones,Match Report,
38,Sat,2019-03-16,15:00 (20:30),Hull City,2–2,QPR,11227,Kingston Communications Stadium,Steve Martin,Match Report,
38,Sat,2019-03-16,15:00 (20:30),Stoke City,0–0,Reading,24368,Bet365 Stadium,Jeremy Simpson,Match Report,
38,Sat,2019-03-16,15:00 (20:30),Ipswich Town,1–1,Nott'ham Forest,16709,Portman Road Stadium,Keith Stroud,Match Report,
38,Sat,2019-03-16,15:00 (20:30),Preston,1–0,Birmingham City,17509,Deepdale Stadium,Scott Duncan,Match Report,
38,Sat,2019-03-16,15:00 (20:30),Aston Villa,3–0,Middlesbrough,36263,Villa Park,Darren Bond,Match Report,
38,Sat,2019-03-16,15:00 (20:30),Brentford,0–1,West Brom,11488,Griffin Park,Andy Madley,Match Report,
38,Sat,2019-03-16,15:00 (20:30),Rotherham Utd,1–2,Norwich City,11026,New York Stadium,Oliver Langford,Match Report,
38,Sat,2019-03-16,15:00 (20:30),Sheffield Weds,4–2,Blackburn,24608,Hillsborough Stadium,James Linington,Match Report,
,,,,,,,,,,,
39,Fri,2019-03-29,20:00 (01:30),West Brom,3–2,Birmingham City,24789,The Hawthorns,David Webb,Match Report,
39,Sat,2019-03-30,15:00 (20:30),Leeds United,3–2,Millwall,34910,Elland Road,Darren Bond,Match Report,
39,Sat,2019-03-30,15:00 (20:30),QPR,1–2,Bolton,13603,Loftus Road Stadium,Geoff Eltringham,Match Report,
39,Sat,2019-03-30,15:00 (20:30),Reading,2–1,Preston,16771,Madejski Stadium,Tony Harrington,Match Report,
39,Sat,2019-03-30,15:00 (20:30),Stoke City,0–0,Sheffield Weds,26398,Bet365 Stadium,Andy Madley,Match Report,
39,Sat,2019-03-30,15:00 (20:30),Derby County,6–1,Rotherham Utd,27003,iPro Stadium,Tim Robinson,Match Report,
39,Sat,2019-03-30,15:00 (20:30),Wigan Athletic,0–0,Brentford,9953,The DW Stadium,Andy Woolmer,Match Report,
39,Sat,2019-03-30,15:00 (20:30),Sheffield Utd,2–3,Bristol City,30030,Bramall Lane,James Linington,Match Report,
39,Sat,2019-03-30,15:00 (20:30),Aston Villa,2–1,Blackburn,39687,Villa Park,Robert Jones,Match Report,
39,Sat,2019-03-30,15:00 (20:30),Nott'ham Forest,2–1,Swansea City,28469,The City Ground,Jeremy Simpson,Match Report,
39,Sat,2019-03-30,15:00 (20:30),Ipswich Town,0–2,Hull City,15720,Portman Road Stadium,John Brooks,Match Report,
39,Sat,2019-03-30,17:30 (23:00),Middlesbrough,0–1,Norwich City,23795,Riverside Stadium,David Coote,Match Report,
,,,,,,,,,,,
29,Tue,2019-04-02,19:45 (00:15),Middlesbrough,0–1,Bristol City,21016,Riverside Stadium,Gavin Ward,Match Report,
,,,,,,,,,,,
33,Tue,2019-04-02,19:45 (00:15),Swansea City,3–0,Brentford,17197,Liberty Stadium,Peter Bankes,Match Report,
,,,,,,,,,,,
40,Sat,2019-04-06,12:30 (17:00),Norwich City,4–0,QPR,26796,Carrow Road,Scott Duncan,Match Report,
40,Sat,2019-04-06,15:00 (19:30),Preston,0–1,Sheffield Utd,18339,Deepdale Stadium,Gavin Ward,Match Report,
40,Sat,2019-04-06,15:00 (19:30),Brentford,3–3,Derby County,12225,Griffin Park,John Brooks,Match Report,
40,Sat,2019-04-06,15:00 (19:30),Sheffield Weds,1–3,Aston Villa,29458,Hillsborough Stadium,Oliver Langford,Match Report,
40,Sat,2019-04-06,15:00 (19:30),Bolton,1–2,Ipswich Town,17811,Macron Stadium,Peter Bankes,Match Report,
40,Sat,2019-04-06,15:00 (19:30),Rotherham Utd,2–1,Nott'ham Forest,11012,New York Stadium,Steve Martin,Match Report,
40,Sat,2019-04-06,15:00 (19:30),Bristol City,2–2,Wigan Athletic,20931,Ashton Gate Stadium,Keith Stroud,Match Report,
40,Sat,2019-04-06,15:00 (19:30),Swansea City,3–1,Middlesbrough,18171,Liberty Stadium,Andy Woolmer,Match Report,
40,Sat,2019-04-06,15:00 (19:30),Blackburn,0–1,Stoke City,17478,Ewood Park,Geoff Eltringham,Match Report,
40,Sat,2019-04-06,15:00 (19:30),Hull City,3–1,Reading,11268,Kingston Communications Stadium,Tim Robinson,Match Report,
40,Sat,2019-04-06,15:00 (19:30),Millwall,2–0,West Brom,15303,The Den,James Linington,Match Report,
40,Sat,2019-04-06,15:00 (19:30),Birmingham City,1–0,Leeds United,24197,St Andrew's Trillion Trophy Stadium,Mike Dean,Match Report,
,,,,,,,,,,,
41,Tue,2019-04-09,19:45 (00:15),Blackburn,2–0,Derby County,12590,Ewood Park,Jeremy Simpson,Match Report,
41,Tue,2019-04-09,19:45 (00:15),Swansea City,3–1,Stoke City,17804,Liberty Stadium,James Linington,Match Report,
41,Tue,2019-04-09,19:45 (00:15),Sheffield Weds,3–0,Nott'ham Forest,23931,Hillsborough Stadium,Lee Mason,Match Report,
41,Tue,2019-04-09,19:45 (00:15),Preston,0–2,Leeds United,18019,Deepdale Stadium,Robert Jones,Match Report,
41,Tue,2019-04-09,19:45 (00:15),Bristol City,3–2,West Brom,20581,Ashton Gate Stadium,Simon Hooper,Match Report,
41,Tue,2019-04-09,20:00 (00:30),Bolton,0–2,Middlesbrough,12259,Macron Stadium,Steve Martin,Match Report,
41,Wed,2019-04-10,19:45 (00:15),Norwich City,2–2,Reading,26662,Carrow Road,Keith Stroud,Match Report,
41,Wed,2019-04-10,19:45 (00:15),Millwall,0–0,QPR,13132,The Den,John Brooks,Match Report,
41,Wed,2019-04-10,19:45 (00:15),Hull City,2–1,Wigan Athletic,10827,Kingston Communications Stadium,David Webb,Match Report,
41,Wed,2019-04-10,19:45 (00:15),Birmingham City,1–1,Sheffield Utd,22351,St Andrew's Trillion Trophy Stadium,Darren Bond,Match Report,
41,Wed,2019-04-10,19:45 (00:15),Brentford,2–0,Ipswich Town,10039,Griffin Park,Andrew Davies,Match Report,
41,Wed,2019-04-10,19:45 (00:15),Rotherham Utd,1–2,Aston Villa,10558,New York Stadium,Andy Madley,Match Report,
,,,,,,,,,,,
42,Sat,2019-04-13,15:00 (19:30),Stoke City,2–2,Rotherham Utd,24250,Bet365 Stadium,Andy Woolmer,Match Report,
42,Sat,2019-04-13,15:00 (19:30),West Brom,4–1,Preston,25088,The Hawthorns,Roger East,Match Report,
42,Sat,2019-04-13,15:00 (19:30),Nott'ham Forest,1–2,Blackburn,27786,The City Ground,Darren Bond,Match Report,
42,Sat,2019-04-13,15:00 (19:30),Aston Villa,2–1,Bristol City,41418,Villa Park,Scott Duncan,Match Report,
42,Sat,2019-04-13,15:00 (19:30),Sheffield Utd,1–1,Millwall,26703,Bramall Lane,David Webb,Match Report,
42,Sat,2019-04-13,15:00 (19:30),Middlesbrough,1–0,Hull City,22427,Riverside Stadium,Robert Jones,Match Report,
42,Sat,2019-04-13,15:00 (19:30),Derby County,4–0,Bolton,26602,iPro Stadium,Andrew Davies,Match Report,
42,Sat,2019-04-13,15:00 (19:30),Ipswich Town,1–1,Birmingham City,17248,Portman Road Stadium,Jeremy Simpson,Match Report,
42,Sat,2019-04-13,15:00 (19:30),Reading,2–1,Brentford,16892,Madejski Stadium,Steve Martin,Match Report,
42,Sat,2019-04-13,15:00 (19:30),QPR,4–0,Swansea City,13872,Loftus Road Stadium,Andy Madley,Match Report,
42,Sat,2019-04-13,17:30 (22:00),Leeds United,1–0,Sheffield Weds,36461,Elland Road,Tim Robinson,Match Report,
42,Sun,2019-04-14,12:00 (16:30),Wigan Athletic,1–1,Norwich City,15655,The DW Stadium,James Linington,Match Report,
,,,,,,,,,,,
43,Fri,2019-04-19,12:00 (16:30),Bristol City,1–1,Reading,23309,Ashton Gate Stadium,Oliver Langford,Match Report,
43,Fri,2019-04-19,12:30 (17:00),Sheffield Utd,2–0,Nott'ham Forest,28403,Bramall Lane,Andy Madley,Match Report,
43,Fri,2019-04-19,13:00 (17:30),Millwall,1–1,Brentford,14530,The Den,Jeremy Simpson,Match Report,
43,Fri,2019-04-19,15:00 (19:30),West Brom,3–2,Hull City,23501,The Hawthorns,Peter Bankes,Match Report,
43,Fri,2019-04-19,15:00 (19:30),QPR,1–2,Blackburn,13632,Loftus Road Stadium,Tim Robinson,Match Report,
43,Fri,2019-04-19,15:00 (19:30),Bolton,0–2,Aston Villa,17344,Macron Stadium,John Brooks,Match Report,
43,Fri,2019-04-19,15:00 (19:30),Leeds United,1–2,Wigan Athletic,34758,Elland Road,Scott Duncan,Match Report,
43,Fri,2019-04-19,15:00 (19:30),Preston,4–0,Ipswich Town,12546,Deepdale Stadium,Steve Martin,Match Report,
43,Fri,2019-04-19,15:00 (19:30),Birmingham City,2–2,Derby County,23902,St Andrew's Trillion Trophy Stadium,Simon Hooper,Match Report,
43,Fri,2019-04-19,15:00 (19:30),Swansea City,4–3,Rotherham Utd,18527,Liberty Stadium,Keith Stroud,Match Report,
43,Fri,2019-04-19,15:00 (19:30),Middlesbrough,1–0,Stoke City,22890,Riverside Stadium,Darren Bond,Match Report,
43,Fri,2019-04-19,19:45 (00:15),Norwich City,2–2,Sheffield Weds,26744,Carrow Road,Geoff Eltringham,Match Report,
,,,,,,,,,,,
44,Mon,2019-04-22,13:00 (17:30),Aston Villa,1–0,Millwall,39839,Villa Park,Tim Robinson,Match Report,
44,Mon,2019-04-22,15:00 (19:30),Hull City,0–3,Sheffield Utd,14116,Kingston Communications Stadium,Graham Scott,Match Report,
44,Mon,2019-04-22,15:00 (19:30),Sheffield Weds,2–0,Bristol City,23998,Hillsborough Stadium,Robert Jones,Match Report,
44,Mon,2019-04-22,15:00 (19:30),Stoke City,2–2,Norwich City,25487,Bet365 Stadium,Tony Harrington,Match Report,
44,Mon,2019-04-22,15:00 (19:30),Rotherham Utd,1–3,Birmingham City,10703,New York Stadium,Andrew Davies,Match Report,
44,Mon,2019-04-22,15:00 (19:30),Blackburn,2–0,Bolton,14495,Ewood Park,Andy Woolmer,Match Report,
44,Mon,2019-04-22,15:00 (19:30),Ipswich Town,0–1,Swansea City,17247,Portman Road Stadium,Darren England,Match Report,
44,Mon,2019-04-22,15:00 (19:30),Reading,0–0,West Brom,17255,Madejski Stadium,Gavin Ward,Match Report,
44,Mon,2019-04-22,15:00 (19:30),Nott'ham Forest,3–0,Middlesbrough,27653,The City Ground,Peter Bankes,Match Report,
44,Mon,2019-04-22,15:00 (19:30),Derby County,2–0,QPR,25986,iPro Stadium,David Webb,Match Report,
44,Mon,2019-04-22,15:00 (19:30),Wigan Athletic,2–0,Preston,12496,The DW Stadium,Andy Madley,Match Report,
44,Mon,2019-04-22,17:15 (21:45),Brentford,2–0,Leeds United,11580,Griffin Park,James Linington,Match Report,
,,,,,,,,,,,
45,Sat,2019-04-27,13:30 (18:00),Millwall,0–0,Stoke City,14472,The Den,Oliver Langford,Match Report,
45,Sat,2019-04-27,15:00 (19:30),West Brom,2–1,Rotherham Utd,24534,The Hawthorns,Robert Jones,Match Report,
45,Sat,2019-04-27,15:00 (19:30),Swansea City,2–2,Hull City,18192,Liberty Stadium,Geoff Eltringham,Match Report,
45,Sat,2019-04-27,15:00 (19:30),Birmingham City,1–1,Wigan Athletic,23645,St Andrew's Trillion Trophy Stadium,Steve Martin,Match Report,
45,Sat,2019-04-27,15:00 (19:30),Preston,3–3,Sheffield Weds,15873,Deepdale Stadium,Jeremy Simpson,Match Report,
45,Sat,2019-04-27,15:00 (19:30),Bolton,0–1,Brentford,,Macron Stadium,Tony Harrington,Match Report,Match awarded to Brentford
45,Sat,2019-04-27,15:00 (19:30),QPR,0–1,Nott'ham Forest,15212,Loftus Road Stadium,Scott Duncan,Match Report,
45,Sat,2019-04-27,15:00 (19:30),Middlesbrough,2–1,Reading,22003,Riverside Stadium,John Brooks,Match Report,
45,Sat,2019-04-27,15:00 (19:30),Bristol City,0–2,Derby County,25556,Ashton Gate Stadium,Darren Bond,Match Report,
45,Sat,2019-04-27,17:15 (21:45),Sheffield Utd,2–0,Ipswich Town,30140,Bramall Lane,Tim Robinson,Match Report,
45,Sat,2019-04-27,19:30 (00:00),Norwich City,2–1,Blackburn,26848,Carrow Road,Andy Madley,Match Report,
45,Sun,2019-04-28,12:00 (16:30),Leeds United,1–1,Aston Villa,36786,Elland Road,Stuart Attwell,Match Report,
,,,,,,,,,,,
38,Tue,2019-04-30,19:45 (00:15),Millwall,1–2,Bristol City,12261,The Den,Andy Madley,Match Report,
38,Wed,2019-05-01,19:45 (00:15),Swansea City,1–1,Derby County,18434,Liberty Stadium,Peter Bankes,Match Report,
,,,,,,,,,,,
46,Sun,2019-05-05,12:30 (17:00),Nott'ham Forest,1–0,Bolton,27578,The City Ground,Oliver Langford,Match Report,
46,Sun,2019-05-05,12:30 (17:00),Stoke City,2–2,Sheffield Utd,26665,Bet365 Stadium,Geoff Eltringham,Match Report,
46,Sun,2019-05-05,12:30 (17:00),Wigan Athletic,1–0,Millwall,10859,The DW Stadium,Andy Woolmer,Match Report,
46,Sun,2019-05-05,12:30 (17:00),Ipswich Town,3–2,Leeds United,20895,Portman Road Stadium,Gavin Ward,Match Report,
46,Sun,2019-05-05,12:30 (17:00),Brentford,3–0,Preston,11289,Griffin Park,James Linington,Match Report,
46,Sun,2019-05-05,12:30 (17:00),Rotherham Utd,1–2,Middlesbrough,11051,New York Stadium,Andy Madley,Match Report,
46,Sun,2019-05-05,12:30 (17:00),Sheffield Weds,1–2,QPR,26111,Hillsborough Stadium,Andrew Davies,Match Report,
46,Sun,2019-05-05,12:30 (17:00),Hull City,1–1,Bristol City,12165,Kingston Communications Stadium,John Brooks,Match Report,
46,Sun,2019-05-05,12:30 (17:00),Blackburn,2–2,Swansea City,16227,Ewood Park,Jarred Gillett,Match Report,
46,Sun,2019-05-05,12:30 (17:00),Reading,0–0,Birmingham City,17247,Madejski Stadium,Keith Stroud,Match Report,
46,Sun,2019-05-05,12:30 (17:00),Aston Villa,1–2,Norwich City,41696,Villa Park,Peter Bankes,Match Report,
46,Sun,2019-05-05,12:30 (17:00),Derby County,3–1,West Brom,32055,iPro Stadium,Tim Robinson,Match Report,